scenario,turbine,region,density_case,capacity_density_mw_km2,eligible_area_km2,p_nom_max_mw,flh_h,mean_capacity_factor,cf_area_weighted,energy_twh,n_turbines,scenario_title,turbine_label
S0_pypsa_eur,T136_V112,admin,dense,8.0,3756.53,30052.0,2442.0,0.2787,0.2765,73.375,10017,PyPSA-Eur default (CORINE + Natura 2000),V112 / 3.0 MW (tip 136 m)
S1_zoning,T136_V112,admin,dense,8.0,8520.8,68166.0,2464.0,0.2812,0.2796,167.937,22722,+ plan de secteur zoning (CoDT),V112 / 3.0 MW (tip 136 m)
S2_setbacks,T136_V112,admin,dense,8.0,1511.1,12089.0,2454.0,0.2801,0.2783,29.663,4030,+ dwellings and infrastructure setbacks (CDR 2024),V112 / 3.0 MW (tip 136 m)
S3_nature,T136_V112,admin,dense,8.0,1315.69,10526.0,2460.0,0.2808,0.2791,25.888,3509,"+ Natura 2000, reserves, wetlands, caves",V112 / 3.0 MW (tip 136 m)
S4_landscape,T136_V112,admin,dense,8.0,1003.86,8031.0,2459.0,0.2807,0.2788,19.747,2677,+ landscape protection perimeters (PIP / ADESA),V112 / 3.0 MW (tip 136 m)
S5_risk,T136_V112,admin,dense,8.0,944.94,7560.0,2461.0,0.2809,0.279,18.6,2520,"+ flood, karst, landslide, water-capture protection",V112 / 3.0 MW (tip 136 m)
S6_servitudes,T136_V112,admin,dense,8.0,611.19,4890.0,2470.0,0.282,0.2804,12.078,1630,"+ aeronautical servitudes, slope >= 7 %, classified sites, radar",V112 / 3.0 MW (tip 136 m)
S0_pypsa_eur,T136_V112,admin,derived,6.833,3756.53,25668.0,2442.0,0.2787,0.2765,62.672,8556,PyPSA-Eur default (CORINE + Natura 2000),V112 / 3.0 MW (tip 136 m)
S1_zoning,T136_V112,admin,derived,6.833,8520.8,58223.0,2464.0,0.2812,0.2796,143.44,19408,+ plan de secteur zoning (CoDT),V112 / 3.0 MW (tip 136 m)
S2_setbacks,T136_V112,admin,derived,6.833,1511.1,10325.0,2454.0,0.2801,0.2783,25.336,3442,+ dwellings and infrastructure setbacks (CDR 2024),V112 / 3.0 MW (tip 136 m)
